foodgroup,broad_group,broad_group1,HUS_total_FL,MED_total_FL,VEG_total_FL,PHD_total_FL,CURRENT_total_FL
added_sugar,Other,Other,0.012419160971818152,0.012419160971818152,0.012936626012310574,0.010266506403369673,0.026335308106612706
dairy_tot,Dairy,Dairy,0.18338896854450973,0.1222593123630065,0.18338896854450973,0.08205322977382987,0.08468760019140209
fruit_exc_juice,Fruit,Fruit,0.0951841280624717,0.11867112070126341,0.0951841280624717,0.049120995685007614,0.04352732825797747
fruit_juice,Fruit,Fruit,0.061033682083465934,0.07695551219219617,0.061033682083465934,0.02072163812291586,0.027984179674446247
gr_refined,Grains,Grains,0.010379988335941578,0.010379988335941578,0.010379988335941578,0,0.018168301831184536
gr_whole,Grains,Grains,0.011332109875263993,0.011332109875263993,0.01322079485447466,0.029280394331819372,0.0033518034017754627
leg_tot,Protein,Plant Protein,0.007805858501275677,0.007805858501275677,0.023841806944113753,0.030819840851100205,0.004790271008218191
oil,Other,Oil,0.015229528726846669,0.015229528726846669,0.015229528726846669,0.018049811824410865,0.01555565754957422
pf_egg,Protein,Animal Protein,0.010250970750428957,0.010250970750428957,0.00915265245574014,0.004442087325185881,0.01274032208278466
pf_ns,Protein,Plant Protein,0.02558429658336377,0.02558429658336377,0.040609994576767894,0.10829331887138104,0.030363192377809618
pf_poultry_tot,Protein,Animal Protein,0.022831475229116174,0.022831475229116174,0,0.012510397385817084,0.028634250506871486
pf_redm_tot,Protein,Animal Protein,0.13254430465513825,0.13254430465513825,0,0.02705478790117639,0.1654748803099123
pf_seafood,Protein,Animal Protein,0.083158186755729,0.15592160016699189,0,0.0562034641521479,0.04450076370407042
sat_fat,Other,Other,0.027346128301394733,0.027346128301394733,0.028485550313952848,0.019361058837387472,NA
veg_dg,Vegetables,Vegetables,0.008509294060025319,0.008509294060025319,0.008509294060025319,0.026922060302904963,0.006695901406351599
veg_oth,Vegetables,Vegetables,0.02335313579670226,0.02335313579670226,0.02335313579670226,0.02335313579670226,0.022808889554095397
veg_ro,Vegetables,Vegetables,0.033838405466203536,0.033838405466203536,0.033838405466203536,0.023926145279133816,0.01619162694089074
veg_sta,Vegetables,Vegetables,0.008658563005322624,0.008658563005322624,0.008658563005322624,0.0036185039425228873,0.005219055582100953
